"Stand","Age"
"C1","~30 years old"
"C2","~30 years old"
"C3","~30 years old"
"C4","~60 years old"
"C5","~60 years old"
"C6","~60 years old"
"C7","~100 years old"
"C8","~100 years old"
"C9","~100 years old"
